Producer,37211,47147292
Producer,51394,47127791
Consumer,36871,3637791
Consumer,21630,3604500
Producer,70279,47130167
Consumer,98317,3640583
Producer,27185,46985334
Consumer,72382,3627291
Producer,64327,46994083
Consumer,44539,3621958
Producer,83290,46986083
Consumer,97657,3637167
Producer,53495,47074416
Consumer,8083,3709708
Consumer,58090,41
Producer,91927,47095083
Producer,82024,47072292
Consumer,61304,3727916
Consumer,42453,250
Consumer,48864,3737041
Producer,37747,47107208
Producer,2786,47100292
Producer,31312,47077916
Consumer,60614,3775958
Consumer,25194,3750916
Producer,24926,47144792
Producer,38434,47156042
Consumer,58985,3757375
Producer,37605,47159167
Consumer,42018,3673708
Producer,85228,47188875
Consumer,73681,0
Producer,56442,47227000
Consumer,60494,3741667
Producer,61682,47229417
Consumer,60848,3747541
Producer,58226,47247958
Consumer,54621,3712833
Producer,34276,47247125
Consumer,19117,41
Producer,82904,47458542
Consumer,86319,42
Producer,62047,47479583
Consumer,21096,83
Producer,18035,47520042
Consumer,67584,10203625
Producer,74024,47504042
Consumer,6436,42
Consumer,18892,84
Producer,81168,47538125
Producer,29812,47546375
Consumer,96002,6493708
Producer,77939,47594500
Consumer,69618,6522542
Producer,21623,47607250
Consumer,82299,14793750
Producer,86229,47628125
Consumer,73714,3393250
Producer,90483,47646875
Consumer,52837,6506042
Producer,93045,47634542
Consumer,93233,12536833
Producer,84560,47639958
Consumer,45808,83
Consumer,45860,41
Consumer,32024,83
Producer,54463,47671292
Producer,29498,47642584
Producer,19295,47591167
Consumer,76453,3281083
Consumer,16353,3158625
Producer,62768,47662708
Producer,33309,47663959
Consumer,44027,2256375
Consumer,49976,5678459
Producer,92942,47654041
Producer,47727,47636708
Consumer,82611,5685459
Consumer,14895,2021084
Producer,24567,47705292
Consumer,84259,2073167
Producer,67070,47729500
Consumer,78519,5699209
Producer,89293,47740042
Consumer,76087,5281250
Producer,56769,47750167
Consumer,60935,10400250
Producer,73533,47736833
Consumer,96641,8583292
Producer,32153,47765292
Consumer,6850,42
Producer,14179,48101666
Consumer,1598,0
